id_paciente,nombre_full_paciente,sexo,fecha_nac,tel
296417ae-8840-4d6f-bbb3-1a6fe9cdaf60,Kennith Gurley,F,01-05-2011,566-210-8335
c727ec92-5bf1-48c2-84c7-40582160ab4a,L;urette Alvarado,F,30-03-2004,384-535-8107
59c854f4-0693-456b-bf27-140af11a1c09,Nicholas Francioli,M,30-08-2007,438-692-1491
c0d336f9-c77c-4a95-9011-2bb6f5426be5,Ninnetta Tingey,F,02-02-1965,434-745-0177
f36f55e6-fe34-434d-b8de-ec4594d38762,Algernon Radley,M,25-03-1979,470-529-9722
c7bab0cb-8b03-4221-8a75-4d211154b881,Jandy Feldbrin,M,03-06-1977,296-898-8327
a082dcc8-b28b-4022-81ca-9b27c7aad6f9,Camala Liddard,M,14-12-1988,452-553-2398
41020682-ee6c-4115-910e-23857fb4943a,Cassandry Brunesco,F,31-10-1975,816-852-0498
6382181a-624f-47d4-abb8-da41b5c4c554,Meg Willicott,F,03-10-1990,385-716-4699
e6092c2b-a788-4a5b-8874-4f84207b2e72,Gram Bonnefin,F,18-02-2013,679-814-1854
e532b42a-7f9b-40af-acd9-903ffdf04ee2,Annmaria Pallant,M,06-01-1983,508-649-1190
58bc8cf3-508f-4a21-a361-a9c1b7d37f35,Ambrose Hought,F,24-03-1995,728-803-1866
6ee479ae-f825-4c5b-8359-d99703cb3bbf,Myrtia Lisciandro,M,18-06-1971,826-749-6857
f37fdedf-faaf-4798-b859-4c53967eaec2,Welch Genny,F,10-02-2015,193-136-0039
c254e9cb-4c47-4b30-a29e-c4636647f8cf,Ashli Kalisz,M,09-01-1978,477-988-7446
1240ebe8-2c95-406e-a7e0-4d5f98f5a888,Bertie Bronot,F,24-12-1971,167-576-7358
e7e991a6-8178-4f25-80f1-a1b44df18084,Reggy Pettingill,F,03-11-1970,594-529-2920
43932dbb-f897-42ec-8b42-8537dc0ca1ba,Olimpia Nunes Nabarro,F,04-05-2018,923-138-2984
cbfcc576-e1b2-45b4-bcf7-15258612071c,Adriana Picott,F,06-05-2008,101-665-2258
165f958c-d95c-4082-b0dd-dfcf87126d78,Lorne Berfoot,F,12-06-2009,515-875-4065
1e67124b-e19c-48c8-8409-832e2b61aee1,Tim Lalley,F,27-04-1971,628-143-3151
c9c87bca-1eec-45d1-9d3f-ce6b069ec85e,Carleton Izhak,M,21-06-1980,324-378-8318
e3414064-3444-4c48-8aa7-b4e31fb8aa09,Dari Grob,M,31-05-1991,336-611-6328
8a2ccb41-56ce-42d6-9a08-f237089bd461,Marilyn Ainslie,F,12-01-1965,100-602-9958
782d5f6a-8437-475f-8faf-69f84e56e479,Nicole Peaddie,M,27-11-2018,138-663-0106
df8f7b32-903f-4848-96d1-8e154da5c6b4,Verge Sansome,M,31-01-1986,492-444-1212
bfefdd1e-675a-4117-8e58-6276286a0661,Marris Demschke,F,30-05-2000,190-296-1662
b7a9efae-5777-4cd2-b20e-98304257803c,Arlyne Eddisford,F,21-04-1972,995-976-6254
737ee8e9-0a19-42a7-8f42-9bfc35212c7d,Sib Huban,M,20-05-1997,426-610-5479
d493a51b-7088-4a7f-a432-6ea5f2568e77,Rebeka Beedie,F,05-12-2021,480-623-9464
0da1cc17-a93d-47d7-b576-df17bdf67c4d,Wanids Maplestone,M,09-10-2018,638-870-2902
cd147898-ef4a-48ae-9281-36c37729eab6,Herculie Sawood,F,16-09-2007,119-175-5786
343ca7cb-e2b1-476c-9dbd-69d55fa96799,Brier Pietz,M,20-01-2001,102-688-8078
ad1b7188-6461-4566-8c28-2b14f801122f,Aline Roomes,M,12-03-2002,180-137-9533
f042fdd3-96f7-479a-97cb-a7d9bd3d1deb,Sarajane Batterton,F,29-10-1987,992-836-5831
412ebbd6-00cd-4633-a5a7-23fe66cc2e2b,Rochester Hulance,F,24-02-1970,366-491-8514
946dff2b-8146-4704-a1e4-7f7058c979b4,Aloise Matieu,F,26-04-1998,999-619-2838
aeb5d81c-be62-4222-886c-43171582f868,Sandi Focke,F,14-05-2022,849-700-6947
b3d0f003-1553-4d9f-a8aa-921813bf54c4,Bertha Coping,M,01-03-1978,565-723-7953
5baca6bb-e935-485b-ad4f-1ab79bea3d9c,Emilie Wiffen,M,01-10-1977,347-180-3463
8ea6bb6e-8408-4bb2-a43e-eb4085d2f763,Benni O'Halligan,F,30-07-2004,720-117-3722
db511a5b-6eb8-4eb2-ba47-76973de24900,Aloisia Feenan,F,19-11-1989,857-228-4082
33529da0-b4b8-4420-9d3e-b8374e0841ae,Tilly Eddoes,M,29-12-1987,485-143-2606
14597c1b-0959-46e1-8a12-410a392cdc11,Grata Rummings,F,28-07-2007,305-285-4723
3ea166b7-247f-43c0-b913-6a5910f45133,Leigha Fassbender,M,25-01-2007,713-741-1176
5b3f0c43-de1f-417f-87c7-389574c8bfba,Marjory Corner,F,20-01-1977,873-619-7109
55d11586-4b24-43bb-b10e-f8b469408ee9,Bianka Vater,M,26-10-1970,447-651-2246
53248dec-b5cd-4b0f-a410-a00d08b4a5ae,Randi Weld,F,21-02-1968,412-903-2584
4841d9b2-bc31-4ca9-8aea-5a8e1ba3bed1,Kelsi Nystrom,M,09-01-1982,630-992-8420
1164e692-9403-4afb-bfa4-1467b51807a6,Ronny Giraldez,F,10-12-1995,424-999-0890
19a6ab6e-4b20-4454-9c5f-e68865493eae,Inglis Shingfield,F,11-06-1993,886-392-1357
4605179b-ddc9-42ef-8b67-bd968886f593,Laurie McKeever,F,06-02-1973,724-234-1517
56f34e50-217b-443f-b996-e102c4a179d1,Bunny Traynor,F,18-11-2011,207-587-0330
c519372f-c301-434b-b2c1-f8456a3d91ba,Hanson Pink,M,30-07-2016,904-524-5149
7deeabd6-6083-4bc2-886d-68ce0be4952d,Remington Mewe,M,29-04-1969,838-437-0897
818bdb8c-887f-4c5b-9f57-f8a800031eb6,Wilhelmina Hellis,M,26-03-1985,954-534-9946
57887625-7f1f-4736-bfb8-95b27d4f6d2c,Grover Gidney,M,16-01-1997,213-316-8463
083cc372-a7ef-4d1c-bc60-c3e3511207a5,Jorry Teesdale,F,02-03-2022,283-866-1957
588f225f-1ddc-4d1d-9d97-8ed2017b8883,Jecho Schuricke,F,15-10-1965,933-805-3584
b735cb5f-b603-4ae5-b924-5d7962e32766,Michael Smalles,M,12-10-1995,830-481-3804
122fb819-05f0-4815-9429-6bfc01d997a6,Stanleigh Gheorghie,M,30-07-1978,519-998-3099
a5d0bcb3-6a7c-4263-8c87-6af4e0eefdc9,Cassie Thairs,F,12-05-2011,524-921-8916
add2f33d-8d77-4c6a-afc1-9df72d15c2aa,Carolina Ferraretto,M,03-04-1980,421-789-5999
b6ec84cf-381e-416b-af54-f9e7669cb0ca,Coleen Truelock,M,01-09-1982,353-282-5981
e475b07b-0dbb-4099-a740-3faced2efaaa,Norina Hagwood,F,05-02-2002,772-936-3379
dbc759cc-5e4d-49ff-bab3-6f7225932e87,Jennie Bottrell,F,07-09-1972,750-718-5341
f5529911-7871-4204-af5a-c6c253df1440,Ddene Seale,M,16-04-2011,664-786-9041
3cec3929-1fac-47f9-9443-851db7d7a9f7,Nikita Indgs,M,12-10-1976,715-812-7101
073a73af-284d-4298-b871-12347fdae782,Esther Ellingham,M,07-05-1993,666-565-9381
e9f71c05-94fd-4c06-8ce9-ce6b347ff64f,Tammie Everard,F,03-03-2002,585-996-7119
cb937e6a-f8a6-4fb5-b110-d9e49d029393,Tobe Gledstane,F,23-04-2017,234-955-7956
a2c3760a-9c60-431b-86b9-6da7c7c4db7a,Alaine Fuentes,M,30-09-1979,232-584-6263
1d1c54f3-0340-4cde-956d-5393852fb284,Hugh Hoogendorp,F,11-11-1994,146-513-7942
a2711064-4cc6-4571-bfbe-ad9128704f73,Eba Hedge,M,09-11-2012,653-982-8990
817ff69d-3ac1-464e-9344-0c829d7548d0,Aretha Merryweather,M,07-12-1998,928-485-9185
edcc65f2-36a6-4e7a-aa93-e4e36f75dc8d,Dori Shoppee,F,14-07-1986,399-628-2338
